"16.03.2012";"20:30:26";0,052;96,500;95,920;90,020;0,055;99,460;100,540;102,320;0,077;99,460;98,020;101,480
"16.03.2012";"20:35:26";0,052;96,740;96,160;90,060;0,058;99,760;100,760;102,720;0,071;99,640;98,260;101,900
"16.03.2012";"20:40:26";0,050;96,940;96,300;90,200;0,055;100,100;101,040;102,860;0,077;99,900;98,440;101,760
"16.03.2012";"20:45:26";0,054;97,180;96,400;90,360;0,059;100,500;101,300;102,980;0,069;100,200;98,700;102,100
"16.03.2012";"20:50:26";0,053;97,340;96,600;90,520;0,057;100,800;101,480;103,260;0,066;100,360;98,840;102,400
"16.03.2012";"20:55:25";0,053;97,520;96,760;90,600;0,058;101,060;101,740;103,560;0,069;100,740;99,200;102,440
"16.03.2012";"20:59:26";0,056;97,660;96,920;90,780;0,059;101,320;101,900;103,640;0,069;100,820;99,320;102,980
"16.03.2012";"21:04:26";0,051;97,860;97,080;90,860;0,055;101,600;102,160;104,040;0,068;101,080;99,500;102,880
"16.03.2012";"21:08:26";0,054;98,020;97,240;91,120;0,057;101,780;102,360;104,180;0,072;101,260;99,680;103,120
"16.03.2012";"21:13:26";0,053;98,120;97,380;91,200;0,059;102,080;102,540;104,340;0,070;101,420;99,820;103,500
"16.03.2012";"21:18:26";0,052;98,360;97,560;91,420;0,056;102,360;102,740;104,540;0,073;101,660;100,080;103,320
"16.03.2012";"21:23:26";0,054;98,500;97,700;91,560;0,058;102,640;102,980;104,860;0,071;101,780;100,280;104,000
"16.03.2012";"21:28:26";0,053;98,700;97,900;91,720;0,057;102,840;103,200;105,000;0,072;101,940;100,440;103,920
"16.03.2012";"21:33:26";0,053;98,860;98,060;91,880;0,057;103,100;103,440;105,280;0,072;102,260;100,700;104,060
"16.03.2012";"21:38:26";0,053;99,140;98,220;92,060;0,057;103,340;103,640;105,480;0,073;102,500;100,900;104,480
"16.03.2012";"21:43:25";0,051;99,320;98,400;92,220;0,054;103,620;103,840;105,700;0,076;102,780;101,100;104,340
"16.03.2012";"21:48:25";0,050;99,460;98,560;92,440;0,057;103,840;104,100;105,860;0,070;102,860;101,280;104,800
"16.03.2012";"21:53:25";0,051;99,560;98,760;92,580;0,056;104,020;104,260;106,060;0,074;102,960;101,500;105,100
"16.03.2012";"21:58:26";0,053;99,740;98,880;92,720;0,054;104,300;104,500;106,360;0,075;103,260;101,680;105,160
"16.03.2012";"22:03:26";0,055;99,920;99,120;92,900;0,059;104,520;104,740;106,560;0,070;103,560;101,920;105,180
"16.03.2012";"22:08:26";0,053;100,080;99,260;93,080;0,059;104,780;104,920;106,820;0,072;103,700;102,080;105,540
"16.03.2012";"22:13:26";0,054;100,260;99,440;93,240;0,057;105,000;105,140;106,940;0,072;103,840;102,240;105,760
"16.03.2012";"22:18:26";0,056;100,440;99,580;93,380;0,058;105,220;105,320;107,020;0,072;104,000;102,380;106,020
"16.03.2012";"22:23:26";0,054;100,640;99,700;93,640;0,056;105,420;105,520;107,340;0,073;104,220;102,600;106,240
"16.03.2012";"22:28:26";0,052;100,760;99,860;93,760;0,056;105,620;105,700;107,580;0,073;104,460;102,740;106,200
"16.03.2012";"22:33:26";0,054;100,860;99,940;93,860;0,058;105,780;105,940;107,700;0,070;104,680;103,100;106,380
"16.03.2012";"22:38:25";0,052;101,080;100,180;94,000;0,055;106,020;106,020;107,840;0,072;104,900;103,180;106,680
"16.03.2012";"22:42:26";0,053;101,240;100,320;94,180;0,056;106,200;106,240;108,080;0,071;105,100;103,360;106,640
"16.03.2012";"22:47:26";0,053;101,380;100,440;94,300;0,057;106,360;106,380;108,140;0,069;105,240;103,600;106,920
"16.03.2012";"22:51:26";0,052;101,460;100,520;94,440;0,055;106,560;106,600;108,380;0,074;105,400;103,740;107,220
"16.03.2012";"22:56:26";0,055;101,620;100,700;94,580;0,057;106,700;106,720;108,600;0,070;105,560;103,840;107,180
"16.03.2012";"23:01:26";0,052;101,780;100,880;94,720;0,058;106,860;106,880;108,740;0,071;105,720;104,060;107,380
"16.03.2012";"23:06:26";0,055;101,960;101,020;94,880;0,055;107,080;107,080;108,940;0,069;105,920;104,260;107,480
"16.03.2012";"23:11:26";0,054;102,080;101,080;95,020;0,056;107,220;107,200;109,040;0,066;106,080;104,380;107,740
"16.03.2012";"23:16:26";0,054;102,280;101,240;95,100;0,055;107,400;107,400;109,240;0,072;106,240;104,620;107,720
"16.03.2012";"23:21:26";0,053;102,400;101,440;95,320;0,058;107,600;107,560;109,320;0,071;106,380;104,720;108,040
"16.03.2012";"23:26:25";0,052;102,600;101,520;95,420;0,057;107,760;107,700;109,480;0,070;106,580;104,940;108,280
"16.03.2012";"23:31:25";0,055;102,760;101,700;95,560;0,056;107,940;107,860;109,720;0,069;106,760;105,120;108,280
